PERMNO,date,TICKER,COMNAM,PRC,CFACPR
10107,20000103,MSFT,MICROSOFT CORP,116.5625,2
10107,20000104,MSFT,MICROSOFT CORP,112.625,2
10107,20000105,MSFT,MICROSOFT CORP,113.8125,2
10107,20000106,MSFT,MICROSOFT CORP,110,2
10107,20000107,MSFT,MICROSOFT CORP,111.4375,2
10107,20000110,MSFT,MICROSOFT CORP,112.25,2
10107,20000111,MSFT,MICROSOFT CORP,109.375,2
10107,20000112,MSFT,MICROSOFT CORP,105.8125,2
10107,20000113,MSFT,MICROSOFT CORP,107.8125,2
10107,20000114,MSFT,MICROSOFT CORP,112.25,2
10107,20000118,MSFT,MICROSOFT CORP,115.3125,2
10107,20000119,MSFT,MICROSOFT CORP,107,2
10107,20000120,MSFT,MICROSOFT CORP,106,2
10107,20000121,MSFT,MICROSOFT CORP,103.75,2
10107,20000124,MSFT,MICROSOFT CORP,101.25,2
10107,20000125,MSFT,MICROSOFT CORP,102.8125,2
10107,20000126,MSFT,MICROSOFT CORP,99.375,2
10107,20000127,MSFT,MICROSOFT CORP,98.75,2
10107,20000128,MSFT,MICROSOFT CORP,98.25,2
10107,20000131,MSFT,MICROSOFT CORP,97.875,2
10107,20000201,MSFT,MICROSOFT CORP,102.9375,2
10107,20000202,MSFT,MICROSOFT CORP,100.8125,2
10107,20000203,MSFT,MICROSOFT CORP,103.625,2
10107,20000204,MSFT,MICROSOFT CORP,106.5625,2
10107,20000207,MSFT,MICROSOFT CORP,106.625,2
10107,20000208,MSFT,MICROSOFT CORP,109.9375,2
10107,20000209,MSFT,MICROSOFT CORP,104,2
10107,20000210,MSFT,MICROSOFT CORP,106,2
10107,20000211,MSFT,MICROSOFT CORP,99.9375,2
10107,20000214,MSFT,MICROSOFT CORP,99.625,2
10107,20000215,MSFT,MICROSOFT CORP,98.5625,2
10107,20000216,MSFT,MICROSOFT CORP,97.625,2
10107,20000217,MSFT,MICROSOFT CORP,99.625,2
10107,20000218,MSFT,MICROSOFT CORP,95.0625,2
10107,20000222,MSFT,MICROSOFT CORP,93.8125,2
10107,20000223,MSFT,MICROSOFT CORP,94.25,2
10107,20000224,MSFT,MICROSOFT CORP,94.75,2
10107,20000225,MSFT,MICROSOFT CORP,91.3125,2
10107,20000228,MSFT,MICROSOFT CORP,91.5625,2
10107,20000229,MSFT,MICROSOFT CORP,89.375,2
10107,20000301,MSFT,MICROSOFT CORP,90.8125,2
10107,20000302,MSFT,MICROSOFT CORP,93.375,2
10107,20000303,MSFT,MICROSOFT CORP,96.125,2
10107,20000306,MSFT,MICROSOFT CORP,90.625,2
10107,20000307,MSFT,MICROSOFT CORP,92.875,2
10107,20000308,MSFT,MICROSOFT CORP,95.5625,2
10107,20000309,MSFT,MICROSOFT CORP,100,2
10107,20000310,MSFT,MICROSOFT CORP,101,2
10107,20000313,MSFT,MICROSOFT CORP,98,2
10107,20000314,MSFT,MICROSOFT CORP,95.125,2
